
 Word-based means:
 SFD 130  FFD 130  GD 130  TT 139  PrF 0.55 Pr1 0.52 Pr2 0.00 PrS 0.48 the
 SFD 203  FFD 201  GD 206  TT 217  PrF 0.75 Pr1 0.65 Pr2 0.02 PrS 0.33 place
 SFD 173  FFD 173  GD 181  TT 206  PrF 0.74 Pr1 0.68 Pr2 0.03 PrS 0.29 for
 SFD 185  FFD 185  GD 185  TT 197  PrF 0.31 Pr1 0.29 Pr2 0.00 PrS 0.71 a
 SFD 191  FFD 194  GD 233  TT 271  PrF 0.94 Pr1 0.70 Pr2 0.22 PrS 0.08 snark
 SFD 168  FFD 169  GD 173  TT 183  PrF 0.50 Pr1 0.43 Pr2 0.01 PrS 0.56 the
 SFD 191  FFD 187  GD 213  TT 220  PrF 0.90 Pr1 0.76 Pr2 0.14 PrS 0.10 bellman
 SFD 139  FFD 139  GD 139  TT 147  PrF 0.23 Pr1 0.20 Pr2 0.00 PrS 0.80 he
 SFD 209  FFD 201  GD 235  TT 259  PrF 0.95 Pr1 0.79 Pr2 0.15 PrS 0.06 landed
 SFD 180  FFD 179  GD 183  TT 189  PrF 0.68 Pr1 0.62 Pr2 0.02 PrS 0.36 his
 SFD 182  FFD 181  GD 183  TT 193  PrF 0.78 Pr1 0.75 Pr2 0.01 PrS 0.24 crew
 SFD 168  FFD 168  GD 168  TT 168  PrF 0.57 Pr1 0.57 Pr2 0.00 PrS 0.43 with
 SFD 191  FFD 191  GD 199  TT 209  PrF 0.93 Pr1 0.91 Pr2 0.02 PrS 0.07 each
 SFD 181  FFD 181  GD 192  TT 200  PrF 0.68 Pr1 0.58 Pr2 0.04 PrS 0.38 man
 SFD 173  FFD 173  GD 173  TT 177  PrF 0.56 Pr1 0.46 Pr2 0.00 PrS 0.54 on
 SFD 170  FFD 169  GD 176  TT 196  PrF 0.73 Pr1 0.65 Pr2 0.01 PrS 0.34 the
 SFD 182  FFD 182  GD 191  TT 207  PrF 0.74 Pr1 0.70 Pr2 0.04 PrS 0.26 top
 SFD 191  FFD 192  GD 195  TT 198  PrF 0.49 Pr1 0.47 Pr2 0.01 PrS 0.52 of
 SFD 174  FFD 174  GD 178  TT 185  PrF 0.62 Pr1 0.60 Pr2 0.02 PrS 0.38 the
 SFD 124  FFD 124  GD 124  TT Infinity  PrF 0.12 Pr1 0.10 Pr2 0.00 PrS 0.90 a
 SFD 188  FFD 184  GD Infinity  TT Infinity  PrF 0.98 Pr1 0.84 Pr2 0.13 PrS 0.03 finger
 SFD Infinity  FFD Infinity  GD Infinity  TT Infinity  PrF 0.95 Pr1 0.54 Pr2 0.32 PrS 0.14 entwined
 SFD Infinity  FFD Infinity  GD Infinity  TT Infinity  PrF 0.77 Pr1 0.58 Pr2 0.01 PrS 0.41 in
 SFD Infinity  FFD Infinity  GD Infinity  TT Infinity  PrF 0.49 Pr1 0.48 Pr2 0.01 PrS 0.51 his
 SFD 143  FFD 143  GD 145  TT 144  PrF 0.58 Pr1 0.56 Pr2 0.01 PrS 0.43 the
 SFD 208  FFD 203  GD 223  TT 245  PrF 0.77 Pr1 0.63 Pr2 0.06 PrS 0.31 place
 SFD 177  FFD 179  GD 183  TT 203  PrF 0.70 Pr1 0.66 Pr2 0.02 PrS 0.32 for
 SFD 172  FFD 172  GD 172  TT 181  PrF 0.37 Pr1 0.30 Pr2 0.00 PrS 0.70 a
 SFD 198  FFD 196  GD 246  TT 285  PrF 0.96 Pr1 0.70 Pr2 0.23 PrS 0.07 snark
