
 Word-based means:
 SFD 525  FFD 452  GD 549  TT 555  PrF 1.00 Pr1 0.76 Pr2 0.24 PrS 0.00 beavers
 SFD 520  FFD 439  GD 525  TT 553  PrF 1.00 Pr1 0.77 Pr2 0.23 PrS 0.00 lesson
 SFD 419  FFD 388  GD 453  TT 521  PrF 0.97 Pr1 0.80 Pr2 0.17 PrS 0.03 part
 SFD 503  FFD 434  GD 510  TT 560  PrF 1.00 Pr1 0.79 Pr2 0.21 PrS 0.00 beaver
 SFD 391  FFD 386  GD 411  TT 469  PrF 0.97 Pr1 0.86 Pr2 0.08 PrS 0.06 had
 SFD 463  FFD 395  GD 531  TT 637  PrF 1.00 Pr1 0.69 Pr2 0.31 PrS 0.00 counted
 SFD 437  FFD 422  GD 448  TT 512  PrF 0.95 Pr1 0.82 Pr2 0.08 PrS 0.10 with
 SFD 552  FFD 453  GD 622  TT 693  PrF 0.99 Pr1 0.67 Pr2 0.32 PrS 0.01 scrupulous
 SFD 411  FFD 409  GD 419  TT 440  PrF 0.85 Pr1 0.78 Pr2 0.03 PrS 0.19 to
 SFD 403  FFD 372  GD 515  TT 620  PrF 1.00 Pr1 0.61 Pr2 0.39 PrS 0.00 every
 SFD 391  FFD 386  GD 399  TT 421  PrF 0.84 Pr1 0.79 Pr2 0.05 PrS 0.16 it
 SFD 456  FFD 381  GD 551  TT 637  PrF 1.00 Pr1 0.60 Pr2 0.40 PrS 0.00 fairly
 SFD 456  FFD 406  GD 464  TT 522  PrF 0.99 Pr1 0.78 Pr2 0.17 PrS 0.05 lost
 SFD 446  FFD 398  GD 482  TT 573  PrF 1.00 Pr1 0.81 Pr2 0.19 PrS 0.00 heart
 SFD 371  FFD 352  GD 380  TT 436  PrF 0.95 Pr1 0.84 Pr2 0.09 PrS 0.07 and
 SFD 522  FFD 435  GD 609  TT 723  PrF 1.00 Pr1 0.67 Pr2 0.33 PrS 0.00 outgrabe
 SFD 400  FFD 404  GD 410  TT 477  PrF 0.87 Pr1 0.80 Pr2 0.02 PrS 0.18 in
 SFD 427  FFD 407  GD 426  TT 458  PrF 0.92 Pr1 0.85 Pr2 0.07 PrS 0.08 the
 SFD 427  FFD 372  GD 499  TT 615  PrF 0.99 Pr1 0.67 Pr2 0.30 PrS 0.03 third
 SFD 541  FFD 440  GD 578  TT 683  PrF 0.99 Pr1 0.71 Pr2 0.28 PrS 0.01 repetition
 SFD 452  FFD 442  GD 459  TT 512  PrF 0.97 Pr1 0.90 Pr2 0.06 PrS 0.04 felt
 SFD 403  FFD 370  GD 443  TT 520  PrF 0.99 Pr1 0.77 Pr2 0.19 PrS 0.04 that
 SFD 364  FFD 367  GD 388  TT 465  PrF 0.88 Pr1 0.72 Pr2 0.04 PrS 0.24 in
 SFD 378  FFD 367  GD 523  TT 722  PrF 1.00 Pr1 0.67 Pr2 0.33 PrS 0.00 spite
 SFD 366  FFD 366  GD 372  TT 483  PrF 0.87 Pr1 0.81 Pr2 0.01 PrS 0.18 of
 SFD 366  FFD 352  GD 454  TT 538  PrF 0.99 Pr1 0.71 Pr2 0.25 PrS 0.04 all
 SFD 482  FFD 393  GD 528  TT 586  PrF 1.00 Pr1 0.67 Pr2 0.33 PrS 0.00 possible
 SFD 396  FFD 391  GD 396  TT 417  PrF 0.97 Pr1 0.93 Pr2 0.02 PrS 0.05 had
 SFD 509  FFD 400  GD 573  TT 619  PrF 1.00 Pr1 0.66 Pr2 0.34 PrS 0.00 somehow
 SFD 573  FFD 463  GD 613  TT 727  PrF 0.98 Pr1 0.68 Pr2 0.30 PrS 0.02 contrived
 SFD 386  FFD 385  GD 400  TT 465  PrF 0.79 Pr1 0.63 Pr2 0.03 PrS 0.34 to
 SFD 341  FFD 346  GD 460  TT 618  PrF 0.99 Pr1 0.72 Pr2 0.27 PrS 0.01 lose
 SFD 394  FFD 379  GD 393  TT 436  PrF 0.98 Pr1 0.91 Pr2 0.07 PrS 0.02 the
 SFD 398  FFD 368  GD 435  TT 500  PrF 0.99 Pr1 0.82 Pr2 0.17 PrS 0.01 only
 SFD 454  FFD 391  GD 490  TT 557  PrF 1.00 Pr1 0.74 Pr2 0.25 PrS 0.01 thing
 SFD 398  FFD 378  GD 412  TT 496  PrF 0.95 Pr1 0.80 Pr2 0.11 PrS 0.09 now
 SFD 362  FFD 353  GD 419  TT 528  PrF 0.97 Pr1 0.78 Pr2 0.18 PrS 0.04 was
 SFD 383  FFD 394  GD 425  TT 472  PrF 0.90 Pr1 0.74 Pr2 0.08 PrS 0.18 to
 SFD 389  FFD 371  GD 491  TT 636  PrF 1.00 Pr1 0.71 Pr2 0.28 PrS 0.01 rack
 SFD 386  FFD 370  GD 402  TT 493  PrF 0.96 Pr1 0.82 Pr2 0.10 PrS 0.08 its
 SFD 415  FFD 374  GD 465  TT 534  PrF 0.99 Pr1 0.77 Pr2 0.21 PrS 0.02 poor
 SFD 570  FFD 493  GD 597  TT 646  PrF 1.00 Pr1 0.77 Pr2 0.23 PrS 0.00 reckoning
 SFD 418  FFD 415  GD 417  TT 441  PrF 0.86 Pr1 0.77 Pr2 0.01 PrS 0.22 up
 SFD 345  FFD 349  GD 409  TT 533  PrF 0.98 Pr1 0.78 Pr2 0.18 PrS 0.04 the
 SFD 493  FFD 456  GD 511  TT 567  PrF 1.00 Pr1 0.84 Pr2 0.16 PrS 0.00 added
 SFD 389  FFD 384  GD 394  TT 440  PrF 0.90 Pr1 0.81 Pr2 0.04 PrS 0.15 to
 SFD 417  FFD 382  GD 515  TT 648  PrF 1.00 Pr1 0.69 Pr2 0.31 PrS 0.00 oneif
 SFD 399  FFD 369  GD 408  TT 507  PrF 1.00 Pr1 0.86 Pr2 0.13 PrS 0.01 that
 SFD 412  FFD 363  GD 443  TT 547  PrF 1.00 Pr1 0.74 Pr2 0.24 PrS 0.02 could
 SFD 421  FFD 394  GD 429  TT 509  PrF 0.96 Pr1 0.80 Pr2 0.12 PrS 0.08 but
 SFD 313  FFD 327  GD 356  TT 433  PrF 0.96 Pr1 0.86 Pr2 0.08 PrS 0.06 be
 SFD 425  FFD 399  GD 438  TT 466  PrF 0.98 Pr1 0.82 Pr2 0.13 PrS 0.05 said
 SFD 392  FFD 363  GD 424  TT 528  PrF 1.00 Pr1 0.81 Pr2 0.17 PrS 0.02 with
 SFD 405  FFD 371  GD 433  TT 567  PrF 1.00 Pr1 0.83 Pr2 0.17 PrS 0.00 ones
 SFD 483  FFD 384  GD 569  TT 657  PrF 1.00 Pr1 0.65 Pr2 0.34 PrS 0.01 fingers
 SFD 409  FFD 393  GD 418  TT 471  PrF 0.94 Pr1 0.84 Pr2 0.09 PrS 0.07 and
 SFD 442  FFD 418  GD 466  TT 525  PrF 1.00 Pr1 0.79 Pr2 0.14 PrS 0.07 with
 SFD 436  FFD 394  GD 477  TT 613  PrF 0.99 Pr1 0.80 Pr2 0.19 PrS 0.01 tears
 SFD 397  FFD 386  GD 404  TT 508  PrF 0.97 Pr1 0.87 Pr2 0.08 PrS 0.05 how
 SFD 369  FFD 379  GD 396  TT 478  PrF 0.93 Pr1 0.80 Pr2 0.05 PrS 0.15 in
