n,x,y,val,dP,lab,xT,yT
0,-14.633792,6.377385,0,4399,0,NaN,NaN
1,-14.628289,6.380295,0,4404,0,NaN,NaN
2,-14.603521,6.383205,0,4407,0,NaN,NaN
3,-14.581499,6.380295,0,4406,0,NaN,NaN
4,-14.578747,6.374474,0,4406,0,NaN,NaN
5,-14.584252,6.374474,0,4407,0,NaN,NaN
6,-14.589758,6.380295,0,4410,0,NaN,NaN
7,-14.589758,6.386115,0,4411,1,NaN,NaN
8,-14.589758,6.380295,0,4411,1,NaN,NaN
9,-14.578747,6.371564,0,4410,1,NaN,NaN
10,-14.562227,6.362833,0,4409,1,NaN,NaN
11,-14.542952,6.362833,0,4407,1,NaN,NaN
12,-14.53469,6.362833,0,4405,1,NaN,NaN
13,-14.518164,6.365743,0,4402,1,NaN,NaN
14,-14.507146,6.371564,0,4399,1,NaN,NaN
15,-14.496126,6.377385,0,4397,1,NaN,NaN
16,-14.490616,6.374474,0,4395,1,NaN,NaN
17,-14.48235,6.362833,0,4394,1,NaN,NaN
18,-14.474084,6.354101,0,4391,1,NaN,NaN
19,-14.471328,6.354101,0,4387,1,NaN,NaN
20,-14.460305,6.354101,0,4384,1,NaN,NaN
21,-14.452037,6.357012,0,4383,1,NaN,NaN
22,-14.441012,6.357012,0,4383,1,NaN,NaN
23,-14.435499,6.357012,0,4381,1,NaN,NaN
24,-14.421715,6.368654,0,4379,1,NaN,NaN
25,-14.410687,6.380295,0,4376,1,NaN,NaN
26,-14.402416,6.394846,0,4374,1,NaN,NaN
27,-14.399658,6.394846,0,4372,1,NaN,NaN
28,-14.396901,6.394846,0,4371,1,NaN,NaN
29,-14.388628,6.394846,0,4369,1,NaN,NaN
30,-14.377597,6.397756,0,4363,1,NaN,NaN
31,-14.369322,6.397756,0,4358,1,NaN,NaN
32,-14.363806,6.391936,0,4354,1,NaN,NaN
33,-14.358289,6.386115,0,4352,1,NaN,NaN
34,-14.350013,6.377385,0,4349,1,NaN,NaN
35,-14.344496,6.386115,0,4346,1,NaN,NaN
36,-14.341737,6.391936,0,4344,1,NaN,NaN
37,-14.341737,6.394846,0,4344,1,NaN,NaN
38,-14.341737,6.391936,0,4343,1,NaN,NaN
39,-14.338978,6.380295,0,4342,1,NaN,NaN
40,-14.33346,6.374474,0,4342,1,NaN,NaN
41,-14.325183,6.371564,0,4341,1,NaN,NaN
42,-14.319664,6.374474,0,4338,1,NaN,NaN
43,-14.319664,6.374474,0,4336,1,NaN,NaN
44,-14.319664,6.371564,0,4334,1,NaN,NaN
45,-14.322423,6.365743,0,4336,1,NaN,NaN
46,-14.325183,6.362833,0,4336,1,NaN,NaN
47,-14.325183,6.359922,0,4333,1,NaN,NaN
48,-14.311386,6.365743,0,4329,1,NaN,NaN
49,-14.297587,6.374474,0,4324,1,NaN,NaN
50,-14.286546,6.380295,0,4324,1,NaN,NaN
51,-14.286546,6.383205,0,4324,1,NaN,NaN
52,-14.283786,6.383205,0,4323,1,NaN,NaN
53,-14.278265,6.383205,0,4318,1,NaN,NaN
54,-14.278265,6.383205,0,4314,1,NaN,NaN
55,-14.278265,6.389026,0,4312,1,NaN,NaN
56,-14.278265,6.391936,0,4312,1,NaN,NaN
57,-14.278265,6.397756,0,4311,1,NaN,NaN
58,-14.281026,6.400666,0,4310,1,NaN,NaN
59,-14.286546,6.403576,0,4309,1,NaN,NaN
60,-14.292067,6.400666,0,4307,1,NaN,NaN
61,-14.294827,6.394846,0,4304,1,NaN,NaN
62,-14.294827,6.391936,0,4301,1,NaN,NaN
63,-14.289307,6.391936,0,4296,1,NaN,NaN
64,-14.281026,6.391936,0,4294,1,NaN,NaN
65,-14.278265,6.389026,0,4292,1,NaN,NaN
66,-14.275505,6.386115,0,4291,1,NaN,NaN
67,-14.269984,6.386115,0,4289,1,NaN,NaN
68,-14.267223,6.383205,0,4286,1,NaN,NaN
69,-14.269984,6.383205,0,4283,1,NaN,NaN
70,-14.261702,6.389026,0,4281,1,NaN,NaN
71,-14.253419,6.397756,0,4281,1,NaN,NaN
72,-14.247897,6.394846,0,4280,1,NaN,NaN
73,-14.247897,6.389026,0,4277,1,NaN,NaN
74,-14.245136,6.380295,0,4275,1,NaN,NaN
75,-14.239613,6.377385,0,4272,1,NaN,NaN
76,-14.23409,6.377385,0,4272,1,NaN,NaN
77,-14.23409,6.377385,0,4271,1,NaN,NaN
78,-14.242374,6.380295,0,4270,1,NaN,NaN
79,-14.250658,6.383205,0,4269,1,NaN,NaN
80,-14.25618,6.383205,0,4268,1,NaN,NaN
81,-14.253419,6.383205,0,4268,1,NaN,NaN
82,-14.250658,6.383205,0,4266,1,NaN,NaN
83,-14.247897,6.383205,0,4265,1,NaN,NaN
84,-14.250658,6.386115,0,4262,1,NaN,NaN
85,-14.239613,6.386115,0,4260,1,NaN,NaN
86,-14.23409,6.374474,0,4257,1,NaN,NaN
87,-14.228567,6.365743,0,4256,1,NaN,NaN
88,-14.231329,6.357012,0,4255,1,NaN,NaN
89,-14.228567,6.359922,0,4253,1,NaN,NaN
90,-14.228567,6.357012,0,4249,1,NaN,NaN
91,-14.228567,6.351191,0,4247,1,NaN,NaN
92,-14.225805,6.357012,0,4246,1,NaN,NaN
93,-14.214758,6.371564,0,4246,1,NaN,NaN
94,-14.206472,6.386115,0,4246,1,NaN,NaN
95,-14.198185,6.391936,0,4242,1,NaN,NaN
96,-14.198185,6.394846,0,4239,1,NaN,NaN
97,-14.198185,6.394846,0,4236,1,NaN,NaN
98,-14.200947,6.397756,0,4236,1,NaN,NaN
99,-14.20371,6.400666,0,4235,1,NaN,NaN
100,-14.20371,6.403576,0,4234,1,NaN,NaN
101,-14.200947,6.406486,0,4234,1,NaN,NaN
102,-14.198185,6.403576,0,4231,1,NaN,NaN
103,-14.195423,6.400666,0,4229,1,NaN,NaN
104,-14.187135,6.403576,0,4225,1,NaN,NaN
105,-14.178847,6.409396,0,4224,1,NaN,NaN
106,-14.173321,6.412306,0,4222,1,NaN,NaN
107,-14.173321,6.415216,0,4221,1,NaN,NaN
108,-14.173321,6.412306,0,4218,1,NaN,NaN
109,-14.167795,6.412306,0,4217,1,NaN,NaN
110,-14.162268,6.415216,0,4216,1,NaN,NaN
111,-14.159505,6.421035,0,4215,1,NaN,NaN
112,-14.159505,6.426855,0,4212,1,NaN,NaN
113,-14.162268,6.426855,0,4209,1,NaN,NaN
114,-14.165032,6.429764,0,4206,1,NaN,NaN
115,-14.165032,6.429764,0,4204,1,NaN,NaN
116,-14.162268,6.432674,0,4203,1,NaN,NaN
117,-14.159505,6.435584,0,4202,1,NaN,NaN
118,-14.156742,6.435584,0,4200,1,NaN,NaN
119,-14.153978,6.438493,0,4199,1,NaN,NaN
120,-14.148451,6.441403,0,4196,1,NaN,NaN
121,-14.142924,6.441403,0,4194,1,NaN,NaN
122,-14.142924,6.438493,0,4193,1,NaN,NaN
123,-14.142924,6.438493,0,4193,1,NaN,NaN
124,-14.142924,6.441403,0,4191,1,NaN,NaN
125,-14.137396,6.444312,0,4189,1,NaN,NaN
126,-14.129105,6.450131,0,4187,1,NaN,NaN
127,-14.120812,6.450131,0,4185,1,NaN,NaN
128,-14.123576,6.441403,0,4181,1,NaN,NaN
129,-14.118048,6.435584,0,4177,1,NaN,NaN
130,-14.112519,6.432674,0,4175,1,NaN,NaN
131,-14.10699,6.438493,0,4174,1,NaN,NaN
132,-14.10699,6.438493,0,4173,1,NaN,NaN
133,-14.109755,6.435584,0,4171,1,NaN,NaN
134,-14.112519,6.429764,0,4169,1,NaN,NaN
135,-14.115283,6.429764,0,4166,1,NaN,NaN
136,-14.118048,6.432674,0,4163,1,NaN,NaN
137,-14.115283,6.441403,0,4160,1,NaN,NaN
138,-14.115283,6.453041,0,4161,1,NaN,NaN
139,-14.109755,6.45886,0,4161,1,NaN,NaN
140,-14.101461,6.45595,0,4160,1,NaN,NaN
141,-14.090401,6.450131,0,4158,1,NaN,NaN
142,-14.084871,6.441403,0,4155,1,NaN,NaN
143,-14.082106,6.435584,0,4153,1,NaN,NaN
144,-14.076575,6.435584,0,4153,1,NaN,NaN
145,-14.07381,6.429764,0,4152,1,NaN,NaN
146,-14.071045,6.423945,0,4151,1,NaN,NaN
147,-14.071045,6.418125,0,4149,1,NaN,NaN
148,-14.071045,6.412306,0,4147,1,NaN,NaN
149,-14.07381,6.409396,0,4145,1,NaN,NaN
150,-14.07381,6.403576,0,4144,1,NaN,NaN
151,-14.07381,6.400666,0,4142,1,NaN,NaN
152,-14.071045,6.394846,0,4138,1,NaN,NaN
153,-14.068279,6.391936,0,4135,1,NaN,NaN
154,-14.068279,6.389026,0,4133,1,NaN,NaN
155,-14.068279,6.391936,0,4132,1,NaN,NaN
156,-14.071045,6.397756,0,4128,1,NaN,NaN
157,-14.071045,6.400666,0,4125,1,NaN,NaN
158,-14.071045,6.403576,0,4122,1,NaN,NaN
159,-14.065514,6.409396,0,4121,1,NaN,NaN
160,-14.059982,6.412306,0,4118,1,NaN,NaN
161,-14.057216,6.412306,0,4114,1,NaN,NaN
162,-14.062748,6.412306,0,4111,1,NaN,NaN
163,-14.065514,6.415216,0,4107,1,NaN,NaN
164,-14.068279,6.426855,0,4105,1,NaN,NaN
165,-14.071045,6.438493,0,4103,1,NaN,NaN
166,-14.071045,6.450131,0,4103,1,NaN,NaN
167,-14.071045,6.450131,0,4103,1,NaN,NaN
168,-14.071045,6.450131,0,4102,1,NaN,NaN
169,-14.082106,6.45886,0,4102,1,NaN,NaN
170,-14.090401,6.467588,0,4101,1,NaN,NaN
171,-14.098696,6.476315,0,4100,1,NaN,NaN
172,-14.104225,6.473406,0,4097,1,NaN,NaN
173,-14.10699,6.473406,0,4093,1,NaN,NaN
174,-14.109755,6.473406,0,4092,1,NaN,NaN
175,-14.10699,6.476315,0,4092,1,NaN,NaN
176,-14.104225,6.479224,0,4091,1,NaN,NaN
177,-14.104225,6.479224,0,4090,1,NaN,NaN
178,-14.109755,6.479224,0,4087,1,NaN,NaN
179,-14.115283,6.476315,0,4085,1,NaN,NaN
180,-14.118048,6.476315,0,4083,1,NaN,NaN
181,-14.118048,6.479224,0,4082,1,NaN,NaN
182,-14.12634,6.485042,0,4080,1,NaN,NaN
183,-14.134633,6.49086,0,4080,1,NaN,NaN
184,-14.137396,6.496678,0,4078,1,NaN,NaN
185,-14.134633,6.505405,0,4075,1,NaN,NaN
186,-14.129105,6.511223,0,4072,1,NaN,NaN
187,-14.131869,6.51704,0,4070,1,NaN,NaN
188,-14.129105,6.51704,0,4069,1,NaN,NaN
189,-14.129105,6.514131,0,4067,1,NaN,NaN
190,-14.115283,6.51704,0,4064,1,NaN,NaN
191,-14.104225,6.51704,0,4061,1,NaN,NaN
192,-14.093166,6.51704,0,4057,1,NaN,NaN
193,-14.093166,6.51704,0,4057,1,NaN,NaN
194,-14.090401,6.514131,0,4057,1,NaN,NaN
195,-14.082106,6.511223,0,4057,1,NaN,NaN
196,-14.07381,6.508314,0,4057,1,NaN,NaN
197,-14.051685,6.508314,0,4056,1,NaN,NaN
198,-14.037854,6.502496,0,4056,1,NaN,NaN
199,-14.024022,6.496678,0,4056,1,NaN,NaN
200,-14.026789,6.49086,0,4055,1,NaN,NaN
201,-14.026789,6.49086,0,4054,1,NaN,NaN
202,-14.026789,6.49086,0,4052,1,NaN,NaN
203,-14.026789,6.49086,0,4049,1,NaN,NaN
204,-14.026789,6.49086,0,4047,1,NaN,NaN
205,-14.029555,6.49086,0,4046,1,NaN,NaN
206,-14.024022,6.49086,0,4044,1,NaN,NaN
207,-14.021255,6.493769,0,4042,1,NaN,NaN
208,-14.018489,6.496678,0,4041,1,NaN,NaN
209,-14.029555,6.499587,0,4041,1,NaN,NaN
210,-14.037854,6.502496,0,4039,1,NaN,NaN
211,-14.043387,6.505405,0,4036,1,NaN,NaN
212,-14.048919,6.508314,0,4034,1,NaN,NaN
213,-14.054451,6.502496,0,4034,1,NaN,NaN
214,-14.065514,6.485042,0,4034,1,NaN,NaN
215,-14.068279,6.470497,0,4035,1,NaN,NaN
216,-14.07381,6.464678,0,4035,1,NaN,NaN
217,-14.082106,6.464678,0,4034,1,NaN,NaN
218,-14.087636,6.467588,0,4033,1,NaN,NaN
219,-14.093166,6.467588,0,4031,1,NaN,NaN
220,-14.093166,6.464678,0,4027,1,NaN,NaN
221,-14.093166,6.464678,0,4025,1,NaN,NaN
222,-14.093166,6.467588,0,4024,1,NaN,NaN
223,-14.095931,6.470497,0,4022,1,NaN,NaN
224,-14.098696,6.473406,0,4021,1,NaN,NaN
225,-14.101461,6.476315,0,4020,1,NaN,NaN
226,-14.101461,6.479224,0,4019,1,NaN,NaN
227,-14.101461,6.479224,0,4017,1,NaN,NaN
228,-14.104225,6.479224,0,4014,1,NaN,NaN
229,-14.10699,6.479224,0,4012,1,NaN,NaN
230,-14.112519,6.476315,0,4011,1,NaN,NaN
231,-14.112519,6.476315,0,4010,1,NaN,NaN
232,-14.112519,6.476315,0,4008,1,NaN,NaN
233,-14.10699,6.485042,0,4006,1,NaN,NaN
234,-14.10699,6.487951,0,4005,1,NaN,NaN
235,-14.104225,6.49086,0,4003,1,NaN,NaN
236,-14.104225,6.49086,0,4001,1,NaN,NaN
237,-14.109755,6.496678,0,3999,1,NaN,NaN
238,-14.115283,6.499587,0,3998,1,NaN,NaN
239,-14.109755,6.499587,0,3996,1,NaN,NaN
240,-14.101461,6.499587,0,3993,1,NaN,NaN
241,-14.098696,6.496678,0,3991,1,NaN,NaN
242,-14.10699,6.496678,0,3991,1,NaN,NaN
243,-14.118048,6.493769,0,3990,1,NaN,NaN
244,-14.118048,6.496678,0,3989,1,NaN,NaN
245,-14.118048,6.505405,0,3989,1,NaN,NaN
