file,block,tokens,subject,duration,nSFD,nFFD,nGD,nTT,PrF,Pr1,Pr2,PrS,length,wpm
11,4,,001,9640,,61.59192546583851,61.59192546583851,108.3873188405797,0.8214285714285714,0.35714285714285715,0.4642857142857143,0.17857142857142858,28,174.27385892116183
11,2,,001,11184,,61.55790476190476,61.55790476190476,129.801,0.78125,0.125,0.65625,0.21875,32,171.6738197424893
11,3,,001,16886,,82.03484848484848,82.03484848484848,161.953367003367,0.9166666666666666,0.16666666666666666,0.75,0.08333333333333333,36,127.91661731611985
11,5,,001,6503,,46.20362811791383,46.20362811791383,66.78304988662133,0.7,0.4,0.3,0.3,30,276.7953252345072
11,6,,001,6573,,53.38531746031746,53.38531746031746,69.59871031746032,0.6857142857142857,0.42857142857142855,0.2571428571428571,0.3142857142857143,35,319.48881789137374
11,7,,001,6730,,54.681894841269845,54.681894841269845,78.32529761904762,0.6666666666666666,0.4166666666666667,0.25,0.3333333333333333,36,320.9509658246657
11,1,,001,1263,,44.57142857142857,44.57142857142857,109.92857142857143,1.0,0.5,0.5,0.0,2,95.01187648456057
12,2,,001,16837,,49.43004926108374,49.43004926108374,143.99504652435687,0.9666666666666667,0.2,0.7666666666666667,0.03333333333333333,30,106.90740630753697
12,1,,001,1268,,82.78571428571429,82.78571428571429,119.71428571428572,0.5,0.25,0.25,0.5,4,189.2744479495268
12,3,,001,7590,,55.344430272108845,55.344430272108845,82.32240646258504,0.875,0.5625,0.3125,0.125,32,252.96442687747037
12,4,,001,8564,,58.89266806722689,58.89266806722689,107.47356442577032,0.8,0.36,0.44,0.2,25,175.15179822512843
12,5,,001,9137,,40.57265512265512,40.57265512265512,71.82990620490621,0.88,0.36,0.52,0.12,25,164.16766991353836
12,6,,001,15986,,56.92818197128541,56.92818197128541,134.02099911582673,0.9666666666666667,0.26666666666666666,0.7,0.03333333333333333,30,112.59852370824471
12,7,,001,4958,,75.31986607142858,75.31986607142858,92.04799107142857,0.48484848484848486,0.30303030303030304,0.18181818181818182,0.5151515151515151,33,399.3545784590561
11,2,,002,4810,,58.82874149659864,58.82874149659864,82.74540816326532,0.4375,0.25,0.1875,0.5625,32,399.1683991683992
11,3,,002,5546,,68.69561403508771,68.69561403508771,94.58976608187135,0.5277777777777778,0.3333333333333333,0.19444444444444445,0.4722222222222222,36,389.46988820771725
11,4,,002,6514,,78.64109347442682,78.64109347442682,111.7870811287478,0.6428571428571429,0.35714285714285715,0.2857142857142857,0.35714285714285715,28,257.90604851089955
11,5,,002,9611,,74.49067460317461,74.49067460317461,124.49464285714286,0.6,0.23333333333333334,0.36666666666666664,0.4,30,187.28540214337738
11,6,,002,5684,,85.56785714285714,85.56785714285714,98.5484126984127,0.5142857142857142,0.4,0.11428571428571428,0.4857142857142857,35,369.4581280788177
11,7,,002,6676,,69.66936090225565,69.66936090225565,98.82374686716793,0.5277777777777778,0.3333333333333333,0.19444444444444445,0.4722222222222222,36,323.54703415218694
12,4,,002,21341,,80.36655207537561,80.36655207537561,222.40504838298958,0.88,0.12,0.76,0.12,25,70.28724052293707
12,2,,002,13646,,56.36964285714286,56.36964285714286,114.68784013605443,0.9333333333333333,0.26666666666666666,0.6666666666666666,0.06666666666666667,30,131.9067858713176
12,3,,002,11446,,59.75263080540858,59.75263080540858,116.50668724279836,0.84375,0.28125,0.5625,0.15625,32,167.74419011008212
12,5,,002,17265,,55.72519841269841,55.72519841269841,146.8414847883598,0.96,0.24,0.72,0.04,25,86.88097306689835
12,6,,002,10416,,58.45597180597181,58.45597180597181,152.62178377178378,0.36666666666666664,0.06666666666666667,0.3,0.6333333333333333,30,172.81105990783408
11,4,,003,9652,,71.77504960317461,71.77504960317461,142.8890376984127,0.5714285714285714,0.17857142857142858,0.39285714285714285,0.42857142857142855,28,174.05719021964362
11,3,,003,8123,,125.57048611111111,125.57048611111111,151.96284722222222,0.4444444444444444,0.3055555555555556,0.1388888888888889,0.5555555555555556,36,265.911609011449
11,2,,003,11537,,118.78766233766235,118.78766233766235,199.58993506493505,0.6875,0.4375,0.25,0.3125,32,166.4210800034671
11,1,,003,11778,,96.97619047619048,96.97619047619048,1665.0,1.0,0.0,1.0,0.0,2,10.188487009679063
11,5,,003,5979,,48.58273809523809,48.58273809523809,90.72281746031746,0.4,0.16666666666666666,0.23333333333333334,0.6,30,301.0536879076768
11,6,,003,4921,,83.68663003663004,83.68663003663004,103.9430402930403,0.37142857142857144,0.22857142857142856,0.14285714285714285,0.6285714285714286,35,426.7425320056899
11,7,,003,4974,,84.4454365079365,84.4454365079365,99.61061507936506,0.3333333333333333,0.25,0.08333333333333333,0.6666666666666666,36,434.2581423401689
12,3,,003,4007,,45.1989417989418,45.1989417989418,66.16190476190476,0.5625,0.46875,0.09375,0.4375,32,479.161467431994
12,2,,003,9746,,60.81601307189541,60.81601307189541,124.00401493930907,0.5666666666666667,0.26666666666666666,0.3,0.43333333333333335,30,184.69115534578287
12,1,,003,13036,,166.54464285714286,166.54464285714286,871.8303571428571,1.0,0.0,1.0,0.0,4,18.41055538508745
12,4,,003,4816,,38.98179271708684,38.98179271708684,66.26503692386045,0.44,0.24,0.2,0.56,25,311.46179401993356
12,5,,003,5242,,43.47780423280423,43.47780423280423,73.38272486772487,0.6,0.28,0.32,0.4,25,286.15032430370087
12,6,,003,4087,,43.636480186480185,43.636480186480185,76.31050616050616,0.36666666666666664,0.2,0.16666666666666666,0.6333333333333333,30,440.4208465867385
11,2,,004,11851,,61.73204761904762,61.73204761904762,132.74504761904763,0.78125,0.375,0.40625,0.21875,32,162.01164458695467
11,3,,004,8919,,55.612500000000004,55.612500000000004,88.33988095238094,0.7777777777777778,0.5,0.2777777777777778,0.2222222222222222,36,242.17961654894046
11,4,,004,6581,,81.2828125,81.2828125,119.24739583333334,0.5714285714285714,0.25,0.32142857142857145,0.42857142857142855,28,255.28035253001065
11,5,,004,5719,,79.44487179487179,79.44487179487179,111.50274725274724,0.43333333333333335,0.2,0.23333333333333334,0.5666666666666667,30,314.74033922014337
