file,block,tokens,subject,duration,nSFD,nFFD,nGD,nTT,PrF,Pr1,Pr2,PrS,length,wpm
11,4,,001,10447,,57.36630434782609,58.540217391304346,115.4373188405797,0.8214285714285714,0.25,0.5714285714285714,0.17857142857142858,28,160.8117162821863
11,2,,001,11356,,60.74798534798534,61.331318681318685,126.94967948717948,0.8125,0.15625,0.65625,0.1875,32,169.07361747094046
11,3,,001,17383,,80.01911764705882,80.57794117647059,161.24150326797388,0.9444444444444444,0.16666666666666666,0.7777777777777778,0.05555555555555555,36,124.25933383190474
11,5,,001,7128,,43.75194805194805,48.32121212121212,76.08566017316018,0.7333333333333333,0.3,0.43333333333333335,0.26666666666666666,30,252.5252525252525
11,6,,001,6742,,53.124900793650795,53.124900793650795,71.35912698412699,0.6857142857142857,0.4,0.2857142857142857,0.3142857142857143,35,311.48027291604865
11,7,,001,7535,,53.47295238095237,55.049619047619046,82.24561904761906,0.6944444444444444,0.4166666666666667,0.2777777777777778,0.3055555555555556,36,286.6622428666224
11,1,,001,1351,,44.57142857142857,44.57142857142857,116.21428571428571,1.0,0.5,0.5,0.0,2,88.82309400444116
12,2,,001,17940,,48.464532019704436,51.41855500821018,154.48035030103992,0.9666666666666667,0.16666666666666666,0.8,0.03333333333333333,30,100.3344481605351
12,1,,001,1351,,82.78571428571429,88.71428571428572,125.64285714285714,0.5,0.25,0.25,0.5,4,177.64618800888232
12,3,,001,8710,,54.55094417077175,59.98255336617405,89.86109742747674,0.90625,0.34375,0.5625,0.09375,32,220.43628013777266
12,4,,001,9202,,54.63825530212086,56.90016006402563,113.96133119914631,0.84,0.36,0.48,0.16,25,163.0080417300587
12,5,,001,9860,,36.41886724386725,37.10018037518037,78.43015873015874,0.88,0.2,0.68,0.12,25,152.12981744421907
12,6,,001,16629,,51.33399470899471,51.740661375661375,135.0347964997965,1.0,0.2,0.8,0.0,30,108.24463287028685
12,7,,001,5208,,63.96281512605043,63.96281512605043,91.89075630252101,0.5151515151515151,0.2727272727272727,0.24242424242424243,0.48484848484848486,33,380.184331797235
11,2,,002,5354,,54.25112044817927,61.16288515406162,82.38837535014005,0.53125,0.21875,0.3125,0.46875,32,358.61038475905866
11,3,,002,5746,,67.95877192982456,69.62982456140351,96.9845029239766,0.5277777777777778,0.3055555555555556,0.2222222222222222,0.4722222222222222,36,375.9136790810999
11,4,,002,6646,,77.90652557319225,77.90652557319225,113.91979717813052,0.6428571428571429,0.35714285714285715,0.2857142857142857,0.35714285714285715,28,252.7836292506771
11,5,,002,9792,,74.22083333333335,74.22083333333335,125.5121031746032,0.6,0.23333333333333334,0.36666666666666664,0.4,30,183.82352941176472
11,6,,002,5955,,78.57773809523809,80.64107142857145,92.32357142857143,0.5714285714285714,0.45714285714285713,0.11428571428571428,0.42857142857142855,35,352.64483627204027
11,7,,002,7032,,59.42755952380952,59.42755952380952,100.70755952380952,0.5555555555555556,0.3055555555555556,0.25,0.4444444444444444,36,307.1672354948805
12,4,,002,21972,,78.9574611662847,80.36655207537561,227.3356506238859,0.88,0.08,0.8,0.12,25,68.26870562534134
12,2,,002,14147,,56.36964285714286,58.6860544217687,118.46598639455783,0.9333333333333333,0.26666666666666666,0.6666666666666666,0.06666666666666667,30,127.2354562804835
12,3,,002,12042,,54.23719870664315,58.15201352145796,124.64681069958849,0.84375,0.21875,0.625,0.15625,32,159.44195316392629
12,5,,002,18074,,53.32242063492063,54.59117063492064,156.52863756613758,0.96,0.2,0.76,0.04,25,82.99214341042381
12,6,,002,10874,,55.69233544233544,57.6468808968809,160.36444111444112,0.36666666666666664,0.06666666666666667,0.3,0.6333333333333333,30,165.53246275519587
11,4,,003,9892,,68.49416433239963,70.10760971055089,137.03842203548083,0.6071428571428571,0.17857142857142858,0.42857142857142855,0.39285714285714285,28,169.8342094621917
11,3,,003,8537,,106.89598765432099,107.49475308641975,141.75092592592594,0.5,0.3333333333333333,0.16666666666666666,0.5,36,253.0162820662996
11,2,,003,11774,,114.91283643892342,115.53240165631472,193.61283643892338,0.71875,0.4375,0.28125,0.28125,32,163.07117377271956
11,1,,003,11882,,45.30952380952381,45.30952380952381,1677.3809523809525,1.0,0.0,1.0,0.0,2,10.0993098804915
11,5,,003,6063,,48.58273809523809,48.58273809523809,91.18948412698414,0.4,0.16666666666666666,0.23333333333333334,0.6,30,296.8827313211282
11,6,,003,4921,,83.68663003663004,83.68663003663004,103.9430402930403,0.37142857142857144,0.22857142857142856,0.14285714285714285,0.6285714285714286,35,426.7425320056899
