Word, Lemma Head, Lemma CobMln, CobMln
a, a, 23072, 23072
a, a, 23544, 23543
a, a, 471, 471
able, able, 328, 327
aboard, aboard, 7, 7
aboard, aboard, 9, 9
about, about, 349, 349
about, about, 2142, 2142
about, about, 0, 0
absolute, absolute, 42, 42
absurd, absurd, 25, 25
add, add, 234, 21
added, add, 234, 22
additional, additional, 36, 36
additional, additional, 0, 0
advised, advise, 43, 4
affectionate, affectionate, 8, 8
after, after, 0, 0
after, after, 0, 0
after, after, 762, 762
after, after, 393, 393
again, again, 768, 768
against, against, 586, 586
ages, age, 290, 43
ages, age, 8, 0
agree, agree, 191, 20
ahead, ahead, 96, 96
ahead, ahead, 4, 4
all, all, 0, 0
all, all, 146, 146
all, all, 3443, 3443
almost, almost, 470, 470
alone, alone, 195, 195
alone, alone, 12, 12
along, along, 106, 106
along, along, 188, 188
already, already, 362, 362
also, also, 920, 920
although, although, 302, 302
always, always, 661, 661
am, be, 38301, 349
ambition, ambition, 24, 14
among, among, 284, 284
amount, amount, 155, 127
amply, amply, 2, 2
an, an, 3309, 3309
and, and, 28705, 28705
angrily, angrily, 11, 11
another, another, 700, 700
answer, answer, 133, 102
answer, answer, 170, 19
antediluvian, antediluvian, 0, 0
antediluvian, antediluvian, 0, 0
any, any, 53, 53
any, any, 1263, 1263
appeal, appeal, 53, 46
appeal, appeal, 22, 2
appeared, appear, 291, 25
approach, approach, 89, 76
approach, approach, 80, 5
are, are, 0, 0
are, be, 38301, 2207
arrange, arrange, 88, 7
arrangement, arrangement, 62, 28
art, art, 168, 166
art, be, 38301, 0
as, as, 3044, 3044
as, as, 1107, 1107
as, as, 2767, 2767
asleep, asleep, 31, 31
asleep, asleep, 12, 12
at, at, 5584, 5584
atone, atone, 1, 0
attempting, attempt, 78, 18
attending, attend, 75, 14
away, away, 678, 678
away, away, 0, 0
awkward, awkward, 20, 20
bade, bid, 5, 1
bags, bag, 80, 19
bags, bag, 2, 0
bags, bags, 2, 2
bags, bags, 0, 0
bake, bake, 24, 1
baker, baker, 17, 15
bands, band, 45, 13
bands, band, 2, 0
banker, banker, 14, 7
barrister, barrister, 6, 4
batch, batch, 5, 4
bathing-machines, bathing-machine, 0, 0
be, be, 38301, 6214
beach, beach, 81, 59
beach, beach, 1, 0
bear, bear, 16, 6
bear, bear, 107, 13
beauty, beauty, 58, 55
beaver, beaver, 3, 2
beavers, beaver, 3, 1
became, become, 834, 67
becomes, become, 834, 104
been, be, 38301, 2709
before, before, 179, 179
before, before, 199, 199
before, before, 598, 598
began, begin, 683, 89
beginning, beginning, 76, 68
beginning, begin, 683, 94
beheld, behold, 5, 0
behind, behind, 0, 0
behind, behind, 33, 33
behind, behind, 287, 287
being, being, 92, 52
being, be, 38301, 814
being, being, 0, 0
believes, believe, 426, 29
bell, bell, 1, 1
bell, bell, 42, 27
best, best, 0, 0
best, well, 1100, 55
best, good, 1451, 290
betrayed, betray, 20, 2
beware, beware, 5, 1
bellman, bellman, 0, 0
bewilder, bewilder, 14, 0
billiard-marker, billiard-marker, 0, 0
billowy, billowy, 0, 0
bird, bird, 103, 42
bite, bite, 15, 10
bite, bite, 27, 2
blank, blank, 2, 2
blank, blank, 15, 15
blew, blow, 84, 5
blissful, blissful, 1, 1
board, board, 103, 85
board, board, 9, 1
boil, boil, 7, 7
boil, boil, 43, 3
boil, boil, 3, 2
bold, bold, 14, 11
bonnets, bonnet, 5, 1
books, book, 434, 164
books, book, 16, 0
books, books, 0, 0
boots, boot, 39, 30
boots, boot, 0, 0
boots, boots, 0, 0
bought, buy, 256, 18
bow, bow, 13, 9
bow, bow, 5, 4
bow, bow, 3, 0
bow, bow, 16, 1
bow, bow, 0, 0
bow, bow, 1, 1
bowl, bowl, 33, 26
bowl, bowl, 13, 1
bowsprit, bowsprit, 0, 0
boxes, box, 102, 24
boxes, box, 1, 0
boxes, box, 1, 0
brains, brain, 75, 7
brains, brain, 0, 0
brains, brains, 11, 11
brave, brave, 1, 0
brave, brave, 2, 0
brave, brave, 21, 19
breakfasts, breakfast, 55, 2
breakfasts, breakfast, 4, 0
brimming, brim, 3, 1
bring, bring, 512, 45
broke, broke, 3, 3
broke, break, 229, 16
broker, broker, 6, 3
brought, bring, 512, 50
brow, brow, 14, 10
but, but, 0, 0
but, but, 0, 0
but, but, 0, 0
but, but, 5401, 5401
but, but, 0, 0
butcher, butcher, 6, 5
butcher, butcher, 3, 0
by, by, 89, 89
by, by, 4337, 4337
call, call, 59, 38
call, call, 693, 50
called, call, 693, 84
came, come, 1960, 174
can, can, 9, 0
can, can, 3954, 415
can, can, 5, 0
cannot, cannot, 247, 247
capes, cape, 16, 1
captain, captain, 70, 63
captain, captain, 1, 0
capture, capture, 5, 5
capture, capture, 26, 2
care, care, 95, 94
care, care, 121, 20
carefully, carefully, 97, 97
carriage, carriage, 16, 13
carries, carry, 1, 1
carries, carry, 311, 18
cases, case, 495, 112
cases, case, 1, 0
